STUDYID, DOMAIN, USUBJID, POOLID, PPSEQ, PPGRPID, PPTESTCD, PPTEST, PPCAT, PPSCAT, PPORRES, PPORRESU, PPSTRESC, PPSTRESN, PPSTRESU, PPSTAT, PPREASND, PPSPEC, VISITDY, PPTPTREF, PPRFTDTC, PPSTINT, PPENINT
STUDY123,PP,STUDY123-2001,,97,ARTICLE123-DAY85-STUDY123-2001,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,50.6,h*ug/mL,50.6,50.6,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2001,,98,ARTICLE123-DAY85-STUDY123-2001,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,3.05,ug/mL,3.05,3.05,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2001,,99,ARTICLE123-DAY85-STUDY123-2001,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2002,,100,ARTICLE123-DAY85-STUDY123-2002,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,76.1,h*ug/mL,76.1,76.1,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2002,,101,ARTICLE123-DAY85-STUDY123-2002,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,3.91,ug/mL,3.91,3.91,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2002,,102,ARTICLE123-DAY85-STUDY123-2002,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2003,,103,ARTICLE123-DAY85-STUDY123-2003,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,93.1,h*ug/mL,93.1,93.1,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2003,,104,ARTICLE123-DAY85-STUDY123-2003,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,4.26,ug/mL,4.26,4.26,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2003,,105,ARTICLE123-DAY85-STUDY123-2003,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2004,,106,ARTICLE123-DAY85-STUDY123-2004,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,57.5,h*ug/mL,57.5,57.5,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2004,,107,ARTICLE123-DAY85-STUDY123-2004,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,3.44,ug/mL,3.44,3.44,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2004,,108,ARTICLE123-DAY85-STUDY123-2004,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2501,,109,ARTICLE123-DAY85-STUDY123-2501,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,41.3,h*ug/mL,41.3,41.3,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2501,,110,ARTICLE123-DAY85-STUDY123-2501,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,2.51,ug/mL,2.51,2.51,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2501,,111,ARTICLE123-DAY85-STUDY123-2501,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2502,,112,ARTICLE123-DAY85-STUDY123-2502,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,87.9,h*ug/mL,87.9,87.9,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2502,,113,ARTICLE123-DAY85-STUDY123-2502,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,4.44,ug/mL,4.44,4.44,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2502,,114,ARTICLE123-DAY85-STUDY123-2502,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2503,,115,ARTICLE123-DAY85-STUDY123-2503,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,59.4,h*ug/mL,59.4,59.4,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2503,,116,ARTICLE123-DAY85-STUDY123-2503,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,3.44,ug/mL,3.44,3.44,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2503,,117,ARTICLE123-DAY85-STUDY123-2503,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2504,,118,ARTICLE123-DAY85-STUDY123-2504,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,54.8,h*ug/mL,54.8,54.8,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2504,,119,ARTICLE123-DAY85-STUDY123-2504,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,3.45,ug/mL,3.45,3.45,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-2504,,120,ARTICLE123-DAY85-STUDY123-2504,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3001,,121,ARTICLE123-DAY85-STUDY123-3001,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,140,h*ug/mL,140,140,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3001,,122,ARTICLE123-DAY85-STUDY123-3001,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,7.40,ug/mL,7.40,7.40,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3001,,123,ARTICLE123-DAY85-STUDY123-3001,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3002,,124,ARTICLE123-DAY85-STUDY123-3002,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,85.4,h*ug/mL,85.4,85.4,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3002,,125,ARTICLE123-DAY85-STUDY123-3002,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,7.33,ug/mL,7.33,7.33,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3002,,126,ARTICLE123-DAY85-STUDY123-3002,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3003,,127,ARTICLE123-DAY85-STUDY123-3003,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,102,h*ug/mL,102,102,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3003,,128,ARTICLE123-DAY85-STUDY123-3003,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,5.84,ug/mL,5.84,5.84,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3003,,129,ARTICLE123-DAY85-STUDY123-3003,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,8.0,h,8.0,8.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3004,,130,ARTICLE123-DAY85-STUDY123-3004,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,151,h*ug/mL,151,151,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3004,,131,ARTICLE123-DAY85-STUDY123-3004,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,7.65,ug/mL,7.65,7.65,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3004,,132,ARTICLE123-DAY85-STUDY123-3004,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3005,,133,ARTICLE123-DAY85-STUDY123-3005,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,151,h*ug/mL,151,151,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3005,,134,ARTICLE123-DAY85-STUDY123-3005,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,8.24,ug/mL,8.24,8.24,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3005,,135,ARTICLE123-DAY85-STUDY123-3005,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3006,,136,ARTICLE123-DAY85-STUDY123-3006,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,161,h*ug/mL,161,161,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3006,,137,ARTICLE123-DAY85-STUDY123-3006,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,9.02,ug/mL,9.02,9.02,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3006,,138,ARTICLE123-DAY85-STUDY123-3006,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3501,,139,ARTICLE123-DAY85-STUDY123-3501,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,238,h*ug/mL,238,238,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3501,,140,ARTICLE123-DAY85-STUDY123-3501,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,11.7,ug/mL,11.7,11.7,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3501,,141,ARTICLE123-DAY85-STUDY123-3501,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3502,,142,ARTICLE123-DAY85-STUDY123-3502,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,245,h*ug/mL,245,245,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3502,,143,ARTICLE123-DAY85-STUDY123-3502,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,12.8,ug/mL,12.8,12.8,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3502,,144,ARTICLE123-DAY85-STUDY123-3502,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3503,,145,ARTICLE123-DAY85-STUDY123-3503,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,71.5,h*ug/mL,71.5,71.5,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3503,,146,ARTICLE123-DAY85-STUDY123-3503,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,4.84,ug/mL,4.84,4.84,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3503,,147,ARTICLE123-DAY85-STUDY123-3503,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3504,,148,ARTICLE123-DAY85-STUDY123-3504,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,126,h*ug/mL,126,126,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3504,,149,ARTICLE123-DAY85-STUDY123-3504,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,5.96,ug/mL,5.96,5.96,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3504,,150,ARTICLE123-DAY85-STUDY123-3504,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,1.0,h,1.0,1.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3505,,151,ARTICLE123-DAY85-STUDY123-3505,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,156,h*ug/mL,156,156,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3505,,152,ARTICLE123-DAY85-STUDY123-3505,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,8.35,ug/mL,8.35,8.35,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3505,,153,ARTICLE123-DAY85-STUDY123-3505,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,1.0,h,1.0,1.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3506,,154,ARTICLE123-DAY85-STUDY123-3506,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,116,h*ug/mL,116,116,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3506,,155,ARTICLE123-DAY85-STUDY123-3506,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,5.72,ug/mL,5.72,5.72,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-3506,,156,ARTICLE123-DAY85-STUDY123-3506,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,0.0,h,0.0,0.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4001,,157,ARTICLE123-DAY85-STUDY123-4001,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,443,h*ug/mL,443,443,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4001,,158,ARTICLE123-DAY85-STUDY123-4001,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,21.6,ug/mL,21.6,21.6,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4001,,159,ARTICLE123-DAY85-STUDY123-4001,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4002,,160,ARTICLE123-DAY85-STUDY123-4002,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,580,h*ug/mL,580,580,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4002,,161,ARTICLE123-DAY85-STUDY123-4002,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,30.0,ug/mL,30.0,30.0,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4002,,162,ARTICLE123-DAY85-STUDY123-4002,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4004,,163,ARTICLE123-DAY85-STUDY123-4004,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,238,h*ug/mL,238,238,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4004,,164,ARTICLE123-DAY85-STUDY123-4004,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,12.5,ug/mL,12.5,12.5,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4004,,165,ARTICLE123-DAY85-STUDY123-4004,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4005,,166,ARTICLE123-DAY85-STUDY123-4005,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,341,h*ug/mL,341,341,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4005,,167,ARTICLE123-DAY85-STUDY123-4005,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,17.8,ug/mL,17.8,17.8,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4005,,168,ARTICLE123-DAY85-STUDY123-4005,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4006,,169,ARTICLE123-DAY85-STUDY123-4006,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,395,h*ug/mL,395,395,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4006,,170,ARTICLE123-DAY85-STUDY123-4006,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,20.5,ug/mL,20.5,20.5,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4006,,171,ARTICLE123-DAY85-STUDY123-4006,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4103,,172,ARTICLE123-DAY85-STUDY123-4103,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,350,h*ug/mL,350,350,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4103,,173,ARTICLE123-DAY85-STUDY123-4103,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,17.8,ug/mL,17.8,17.8,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4103,,174,ARTICLE123-DAY85-STUDY123-4103,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4501,,175,ARTICLE123-DAY85-STUDY123-4501,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,410,h*ug/mL,410,410,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4501,,176,ARTICLE123-DAY85-STUDY123-4501,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,20.8,ug/mL,20.8,20.8,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4501,,177,ARTICLE123-DAY85-STUDY123-4501,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4502,,178,ARTICLE123-DAY85-STUDY123-4502,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,334,h*ug/mL,334,334,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4502,,179,ARTICLE123-DAY85-STUDY123-4502,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,17.3,ug/mL,17.3,17.3,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4502,,180,ARTICLE123-DAY85-STUDY123-4502,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4503,,181,ARTICLE123-DAY85-STUDY123-4503,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,458,h*ug/mL,458,458,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4503,,182,ARTICLE123-DAY85-STUDY123-4503,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,23.3,ug/mL,23.3,23.3,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4503,,183,ARTICLE123-DAY85-STUDY123-4503,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4504,,184,ARTICLE123-DAY85-STUDY123-4504,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,488,h*ug/mL,488,488,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4504,,185,ARTICLE123-DAY85-STUDY123-4504,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,22.4,ug/mL,22.4,22.4,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4504,,186,ARTICLE123-DAY85-STUDY123-4504,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,8.0,h,8.0,8.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4506,,187,ARTICLE123-DAY85-STUDY123-4506,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,305,h*ug/mL,305,305,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4506,,188,ARTICLE123-DAY85-STUDY123-4506,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,16.8,ug/mL,16.8,16.8,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4506,,189,ARTICLE123-DAY85-STUDY123-4506,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4605,,190,ARTICLE123-DAY85-STUDY123-4605,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,373,h*ug/mL,373,373,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4605,,191,ARTICLE123-DAY85-STUDY123-4605,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,19.5,ug/mL,19.5,19.5,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4605,,192,ARTICLE123-DAY85-STUDY123-4605,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,85,,,PT0H, PT24H
